Mots,Effectif,Longueur,Partie
s'éloigner,1,11,3
l'ancien,1,8,3
renchérissait,1,14,3
coins,2,5,3
mangeraient,2,11,3
trouvé,3,7,3
peinturlurées,1,14,3
montré,1,7,3
ivres,1,5,3
assez,3,5,3
santé,2,6,3
remis,1,5,3
gelée,1,6,3
sais,4,4,3
Devant,1,6,3
mois,13,4,3
déblayaient,1,12,3
avaler,1,6,3
emballait,2,9,3
nord,1,4,3
sortie,4,6,3
turent,1,6,3
abattues,1,8,3
débordantes,1,12,3
colère,5,7,3
Etait-ce,1,8,3
voilà,8,6,3
résignée,3,10,3
bougres,1,7,3
sortir,4,6,3
tabliers,1,8,3
Pardon,1,6,3
Violemment,1,10,3
me,12,2,3
conquis,2,7,3
sembla,3,6,3
bordée,1,7,3
s'agitait,1,9,3
quittés,1,8,3
Voreux,10,6,3
aveugle,1,7,3
envahissaient,1,13,3
trouvant,1,8,3
l'offre,3,7,3
baquet,1,6,3
sortait,3,7,3
rudement,1,8,3
vivait,6,6,3
étroite,2,8,3
marchés,1,8,3
Le,44,2,3
Quand,12,5,3
n'alla,1,6,3
La,27,2,3
énorme,1,7,3
fichu,2,5,3
vos,1,3,3
d'exciter,1,9,3
l'oreille,1,9,3
rythme,1,6,3
auraient,3,8,3
misères,1,8,3
communiqua,2,10,3
baraque,2,7,3
quotidien,1,9,3
fiche,1,5,3
l'insolent,1,10,3
avait-il,2,8,3
culottes,2,8,3
consentiront,1,12,3
farce,1,5,3
grisa,1,5,3
quilles,5,7,3
remarqué,1,9,3
trempés,2,8,3
frites,1,6,3
polie,1,5,3
machine,5,7,3
donnaient,4,9,3
recevait,1,8,3
éclairait,1,10,3
coulait,2,7,3
polis,1,5,3
étouffés,2,10,3
quoi,9,4,3
relevaient,1,10,3
trempée,1,8,3
cadence,1,7,3
ciels,1,5,3
A,15,1,3
n'eut-il,1,8,3
l'eut,2,5,3
s'allongeaient,1,14,3
familière,1,10,3
trouvons,1,8,3
tôt,1,4,3
suivait,6,7,3
être,15,5,3
commander,1,9,3
consulté,1,9,3
bouteille,2,9,3
arrivons,1,8,3
retroussée,1,11,3
mettez-le,1,9,3
laquelle,1,8,3
coquelicots,1,11,3
d'avoir,7,7,3
l'argent,9,8,3
chassés,1,8,3
tremblant,1,9,3
calendrier,1,10,3
miraculeuses,1,12,3
descendu,1,8,3
coulant,1,7,3
haveurs,1,7,3
pouvait-il,1,10,3
cigarettes,1,10,3
arrivant,1,8,3
environ,1,7,3
l'achevaient,1,12,3
Debout,2,6,3
l'inquiétait,1,13,3
fouettaient,1,11,3
ôtait,1,6,3
peur,5,4,3
regardaient,2,11,3
Depuis,7,6,3
d'infliger,1,10,3
rire,8,4,3
peut,5,4,3
cotisations,1,11,3
cour,1,4,3
Autrement,1,9,3
s'arrangeant,1,12,3
journée,5,8,3
enfants,19,7,3
famille,14,7,3
vite,4,4,3
Genève,1,7,3
somnolence,1,10,3
poursuivis,1,10,3
reprises,3,8,3
nocturne,1,8,3
sûre,2,5,3
battue,1,6,3
vois,2,4,3
filé,3,5,3
forcément,1,10,3
fenêtres,2,9,3
glapissante,1,11,3
bêtes,2,6,3
péril,2,6,3
flaque,1,6,3
mettre,7,6,3
conseilla,1,9,3
vivre,4,5,3
était,77,6,3
s'offrirent,1,11,3
bouts,4,5,3
d'aller,3,7,3
cria,6,4,3
tuerie,1,6,3
Merci,1,5,3
étalaient,1,10,3
fiévreusement,1,14,3
banc,1,4,3
d'endoctriner,1,13,3
épaule,1,7,3
criait,3,6,3
beaux,1,5,3
dorée,1,6,3
bonnet,2,6,3
bons,6,4,3
aucun,4,5,3
vouloir,1,7,3
différente,1,11,3
cils,1,4,3
sanglantes,1,10,3
jadis,1,5,3
d'airain,1,8,3
émoi,1,5,3
s'éclaira,1,10,3
Dès,6,4,3
pâlissait,1,10,3
bâclés,1,8,3
qu'elle,31,7,3
fonte,1,5,3
dressée,1,8,3
Eux,1,3,3
promptement,1,11,3
trentaine,1,9,3
volontés,1,9,3
l'emporter,1,10,3
sacs,1,4,3
doux,2,4,3
restât,1,7,3
criait-elle,2,11,3
crimes,1,6,3
furieux,2,7,3
aide,1,4,3
autre,15,5,3
touché,3,7,3
jours,17,5,3
chargé,2,7,3
aurait,13,6,3
voulant,2,7,3
accidents,1,9,3
pâlissante,1,11,3
lait,2,4,3
demandé,1,8,3
bavardages,1,10,3
défilé,1,8,3
fourgon,6,7,3
étalé,1,7,3
toute,15,5,3
forte,3,5,3
naissante,1,9,3
siècle,1,7,3
retourner,3,9,3
dégoûtant,2,11,3
t'aurait,1,8,3
d'heure,1,7,3
emballa,1,7,3
monotonie,1,9,3
creux,1,5,3
droite,2,6,3
douceur,3,7,3
inquiets,3,8,3
écrire,1,7,3
alerte,1,6,3
assurer,2,7,3
bouillonnant,1,12,3
Quelqu'un,1,9,3
formuler,1,8,3
discutait,1,9,3
enlever,1,7,3
Régulièrement,1,15,3
grondement,1,10,3
l'utilité,1,10,3
ivrogne,1,7,3
attaquaient,1,11,3
l'enfant,5,8,3
jeune,23,5,3
systèmes,1,9,3
grasses,1,7,3
garait,1,6,3
revoyait,1,8,3
récit,1,6,3
embêtement,1,11,3
parla,1,5,3
fixement,2,8,3
villes,1,6,3
Jamais,4,6,3
battaient,1,9,3
disant,5,6,3
longue,3,6,3
accompagnèrent,1,15,3
l'existence,2,11,3
vitre,1,5,3
d'entamer,1,9,3
l'image,1,7,3
Jean-Bart,1,9,3
grattait,2,8,3
l'après-midi,2,13,3
empesté,1,8,3
répugnances,1,12,3
Toussaint,1,9,3
l'eût,2,6,3
tel,4,3,3
conseillait,1,11,3
rencontra,1,9,3
justes,1,6,3
Etienne,84,7,3
répétait,4,10,3
accroissement,1,13,3
roche,2,5,3
listes,1,6,3
fentes,1,6,3
troublée,1,9,3
déjeuner,1,9,3
service,3,7,3
grondant,1,8,3
citait,1,6,3
ténèbres,5,10,3
à,326,2,3
semblât,1,8,3
bourse,1,6,3
joufflus,1,8,3
est-ce,3,6,3
troublés,1,9,3
toi,7,3,3
ton,3,3,3
lorsqu'elle,2,11,3
jambe,1,5,3
auquel,3,6,3
Quel,1,4,3
Qu'on,1,5,3
distinguait,1,11,3
estrade,2,7,3
avorton,1,7,3
contretemps,1,11,3
soupirs,1,7,3
défendue,1,9,3
entra,4,5,3
et,341,2,3
manqué,1,7,3
durs,1,4,3
s'arrêter,1,10,3
partaient,1,9,3
acharnement,1,11,3
opposé,1,7,3
galériens,1,10,3
apportait,1,9,3
chanter,1,7,3
réunis,1,7,3
entente,1,7,3
prêcher,1,8,3
dégourdi,1,9,3
pluie,5,5,3
d'établir,1,10,3
Cinquante,1,9,3
valait,2,6,3
besogne,5,7,3
galant,5,6,3
fussent,1,7,3
désire,2,7,3
histoires-là,1,13,3
n'importe,1,9,3
trouverait,1,10,3
châtiment,1,10,3
L'oreille,1,9,3
merci,1,5,3
noyait,1,6,3
classes,1,7,3
verts,1,5,3
Zacharie,28,8,3
Renié,1,6,3
ruiné,1,6,3
glissaient,1,10,3
fourmis,1,7,3
enlevées,1,9,3
recommence,1,10,3
regarda,2,7,3
longs,1,5,3
habitaient,1,10,3
Alors,17,5,3
telle,5,5,3
contenta,1,8,3
l'éblouissement,1,16,3
boeuf,1,5,3
pointues,1,8,3
récriait,1,9,3
consolider,1,10,3
l'estomac,1,9,3
ras,1,3,3
semées,1,7,3
acheva,4,6,3
rassurés,1,9,3
trouvaient,6,10,3
contents,2,8,3
troisième,2,10,3
fuyait,3,6,3
tremblait,1,9,3
chanteuses,1,10,3
s'asseoir,2,9,3
source,2,6,3
chevaux,2,7,3
alors,8,5,3
industrielle,1,12,3
relayer,1,7,3
promenades,1,10,3
bonne,11,5,3
machines,1,8,3
forces,2,6,3
affaire,2,7,3
cuisait,1,7,3
aveuglé,1,8,3
flâner,1,7,3
reluques,1,8,3
agrandissait,1,12,3
soins,1,5,3
nues,1,4,3
digéraient,1,11,3
pourrissaient,1,13,3
secrète,3,8,3
soudainement,1,12,3
forcé,1,6,3
remuait,1,7,3
Piquette,7,8,3
mystique,1,8,3
l'équilibre,1,12,3
maris,1,5,3
supériorité,1,13,3
Lorsqu'ils,1,10,3
d'y,2,3,3
effrayée,1,9,3
coin,4,4,3
briques,2,7,3
pressait,3,8,3
Encore,3,6,3
méchant,1,8,3
somme,3,5,3
consentit,1,9,3
galopé,2,7,3
silencieux,4,10,3
pesanteur,1,9,3
tonneaux,1,8,3
ébouleuse,1,10,3
compliquait,1,11,3
grands-pères,1,13,3
remuaient,1,9,3
dessiner,1,8,3
casquette,2,9,3
baissé,4,7,3
houilleurs,2,10,3
filant,1,6,3
causant,1,7,3
dos,5,3,3
certainement,1,12,3
friture,3,7,3
mineur,10,6,3
soupe,5,5,3
embauchement,1,12,3
d'entrer,1,8,3
peine,5,5,3
égaux,1,6,3
mêlaient,1,9,3
coeur,8,5,3
causes,1,6,3
Seul,1,4,3
sage,2,4,3
piochaient,1,10,3
Est-ce,10,6,3
soufflait,3,9,3
prix,3,4,3
descendus,1,9,3
l'ordre,1,7,3
baie,1,4,3
Nous,6,4,3
gagnait,2,7,3
pris,8,4,3
parurent,1,8,3
Souvarine,16,9,3
piétinement,1,12,3
arrière,2,8,3
laissant,3,8,3
rallongeaient,1,13,3
vieilles,1,8,3
l'unique,1,8,3
concurrents,1,11,3
jouait,1,6,3
carin,2,5,3
plaisirs,1,8,3
folies,1,6,3
qu'Etienne,2,10,3
partageait,1,10,3
d'orage,4,7,3
cependant,6,9,3
s'arrêterait,1,13,3
amusé,1,6,3
épuisée,1,9,3
malsaine,1,8,3
Attendez,1,8,3
cousine,2,7,3
malheurs,1,8,3
s'étaler,1,9,3
bleuissait,1,10,3
reconstruction,1,14,3
quarante-cinq,2,13,3
pattes,4,6,3
secrètes,1,9,3
garnie,1,6,3
de,820,2,3
venaient,4,8,3
Compagnies,1,10,3
douleur,1,7,3
plats,1,5,3
ouvrages,1,8,3
du,151,2,3
meurtrissures,2,13,3
Enveloppez-le,1,13,3
refroidissait,1,13,3
maigreur,1,8,3
traverser,1,9,3
furent,7,6,3
sauvages,1,8,3
ruine,1,5,3
connue,1,6,3
bannir,1,6,3
menaçant,1,9,3
doléances,1,10,3
bal,7,3,3
gendre,1,6,3
jean-foutre,2,11,3
blanches,1,8,3
bleu,1,4,3
engouffrèrent,1,14,3
Crépin,1,7,3
l'entendre,1,10,3
raison,7,6,3
Peu,1,3,3
maigres,2,7,3
dégringolèrent,1,16,3
nus,2,3,3
baignaient,1,10,3
restaient,4,9,3
s'accoutumait,1,13,3
choux,1,5,3
quarante,4,8,3
accrochées,1,11,3
faim,11,4,3
terrine,1,7,3
nue,1,3,3
pliée,1,6,3
obtenir,3,7,3
sorti,2,5,3
porions,3,7,3
Bon,1,3,3
mur,2,3,3
Maheude,32,7,3
sorte,6,5,3
épaissi,1,8,3
défendu,1,8,3
mangeaient,3,10,3
privaient,1,9,3
bien,35,4,3
nettoierait,1,11,3
lancés,1,7,3
boudeurs,1,8,3
réponses,2,9,3
l'estaminet,8,11,3
écrasaient,1,11,3
grognait,1,8,3
vaut,1,4,3
profitait,1,9,3
tirerait,1,8,3
nature,3,6,3
novembre,1,8,3
lâcha,2,6,3
jusqu'aux,2,9,3
s'empanachaient,1,15,3
n'en,10,4,3
lâche,2,6,3
toilette,1,8,3
d'orgueil,1,9,3
bête,1,5,3
sonnaient,3,9,3
tiède,5,6,3
s'aigrissait-elle,1,17,3
qu'en,2,5,3
bras,12,4,3
uns,8,3,3
davantage,13,9,3
d'oeil,1,6,3
mécontente,1,11,3
guettait,1,8,3
rapporté,1,9,3
sentiments,2,10,3
buvant,2,6,3
première,4,9,3
montrait,4,8,3
une,209,3,3
troupeau,2,8,3
dents,4,5,3
demander,1,8,3
écrasé,1,8,3
col,1,3,3
fermé,5,6,3
pousse,1,6,3
quarante-huit,1,13,3
n'arrive,1,8,3
armée,1,6,3
poings,4,6,3
demain,1,6,3
apparut,1,7,3
reçu,4,5,3
gêne,1,5,3
léchait,1,8,3
cherchait,5,9,3
menacés,1,8,3
suffisait,1,9,3
vais,1,4,3
d'homme,4,7,3
paradis,1,7,3
blonde,1,6,3
remords,1,7,3
rivelaine,2,9,3
muettes,1,7,3
bouillant,1,9,3
nourrice,1,8,3
tint,1,4,3
dangereux,1,9,3
ramasser,2,8,3
écrit,1,6,3
grave,2,5,3
parler,5,6,3
milieu,26,6,3
l'avenir,2,8,3
citoyen,1,7,3
choeur,1,6,3
départ,1,7,3
penser,1,6,3
suivre,1,6,3
premier,7,7,3
familier,1,8,3
découcher,1,10,3
café,5,5,3
iraient,1,7,3
accourait,1,9,3
s'obstina,1,9,3
épingles,1,9,3
meilleure,3,9,3
déshabillait,1,13,3
cheveux,4,7,3
coulaient,2,9,3
d'Henri,1,7,3
rang,1,4,3
surnageaient,1,12,3
l'attends,1,9,3
fuite,1,5,3
mentait,1,7,3
libres,4,6,3
"lundi,1er",1,9,3
miroirs,1,7,3
régénération,1,15,3
femmes,12,6,3
Ca,1,2,3
servie,1,6,3
tapait,2,6,3
Ce,13,2,3
air,19,3,3
galop,2,5,3
quittaient,2,10,3
vraies,1,6,3
maîtresse,1,10,3
sauvetage,1,9,3
menton,2,6,3
terrifiée,1,10,3
servir,1,6,3
boisages,4,8,3
Aujourd'hui,1,11,3
intervalles,1,11,3
répéterait,1,12,3
mettaient,2,9,3
demi-voix,2,9,3
d'éperons,1,10,3
enleva,1,6,3
sortit,1,6,3
s'égayant,1,10,3
coupable,2,8,3
lendemain,6,9,3
continuelles,1,12,3
il,225,2,3
profondément,1,13,3
pressant,1,8,3
pauvre,5,6,3
m'empêchera,1,12,3
vidait,2,6,3
chiffres,3,8,3
dit-elle,2,8,3
Saint-Pétersbourg,1,18,3
d'âge,1,6,3
champs,2,6,3
quand,28,5,3
s'élancer,1,10,3
belle,2,5,3
Oh,1,2,3
kilomètres,1,11,3
décider,2,8,3
l'appliquer,1,11,3
encourageait,1,12,3
quant,2,5,3
Avait-on,1,8,3
traiter,1,7,3
l'impossible,1,12,3
plates,1,6,3
déterminer,1,11,3
détourner,2,10,3
machineurs,1,10,3
genoux,6,6,3
entière,2,8,3
livre,4,5,3
raie,1,4,3
marcher,1,7,3
constamment,1,11,3
machineur,4,9,3
elle,90,4,3
prix-là,1,8,3
vertébrale,1,11,3
attendait,1,9,3
vieux,23,5,3
véritable,1,10,3
trottoirs,2,9,3
rentra,2,6,3
détournaient,1,13,3
resta,6,5,3
Va,2,2,3
nuits,1,5,3
sérieuses,1,10,3
havage,1,6,3
amendes,3,7,3
Tête-Coupée,1,13,3
chère,1,6,3
approbation,1,11,3
client,1,6,3
dégénérescence,1,17,3
anarchiste,1,10,3
suivie,2,6,3
messieurs,3,9,3
bonhomie,1,8,3
promiscuités,1,13,3
Bonnemort,15,9,3
ébranlé,1,9,3
songeaient,2,10,3
demie,1,5,3
plantée,2,8,3
partirent,4,9,3
semblaient,3,10,3
habituel,2,8,3
verser,1,6,3
Bien,3,4,3
s'approchait,1,12,3
correspondance,2,14,3
lasse,3,5,3
fichus,1,6,3
vivement,1,8,3
renouveler,1,10,3
souillé,1,8,3
débandés,1,10,3
réserver,1,9,3
déroulaient,1,12,3
dansantes,1,9,3
expliqué,1,9,3
l'aise,3,6,3
désolé,2,8,3
Saisie,1,6,3
satisfactions,1,13,3
Furieuse,1,8,3
brusque,1,7,3
joueurs,1,7,3
début,1,6,3
passive,1,7,3
amicale,2,7,3
discutant,1,9,3
Désormais,1,10,3
n'auraient,2,10,3
s'élargissaient,1,16,3
enfin,15,5,3
résister,1,9,3
regarder,4,8,3
payés,1,6,3
volât,1,6,3
camarade,13,8,3
Celui-ci,2,8,3
tassait,1,7,3
coron,30,5,3
basses,1,6,3
mères,1,6,3
singe,1,5,3
possible,4,8,3
resterait,2,9,3
prendrait,2,9,3
Maheu,82,5,3
d'heures,1,8,3
déclara,6,8,3
assis,4,5,3
renouvellement,1,14,3
exactement,2,10,3
poser,1,5,3
destructives,1,12,3
mille,5,5,3
ruisseaux,1,9,3
bande,3,5,3
racontent,1,9,3
rouler,1,6,3
Du,10,2,3
élan,1,5,3
obligeait,1,9,3
immédiats,1,10,3
mesure,4,6,3
c'était,19,8,3
jardins,1,7,3
cortège,3,8,3
viendrait,1,9,3
froids,2,6,3
quadrille,1,9,3
écoutaient,1,11,3
popularité,2,11,3
musique,1,7,3
prit-il,1,7,3
ceux-ci,2,7,3
antique,1,7,3
étroit,2,7,3
pères,1,6,3
reparu,3,6,3
firent,1,6,3
minces,2,6,3
débarrasserait,1,15,3
portés,1,7,3
gré,1,4,3
chantier,4,8,3
l'étroit,1,9,3
accablée,1,9,3
fou,1,3,3
ici,2,3,3
Près,1,5,3
centre,1,6,3
résistance,1,11,3
poireaux,1,8,3
incompréhensible,1,17,3
creusant,1,8,3
façon,2,6,3
gouvernement,1,12,3
soirée,1,7,3
Tandis,1,6,3
aidant,2,6,3
Réquillart,1,11,3
foi,2,3,3
carte,1,5,3
descendre,2,9,3
idées,8,6,3
lampe,7,5,3
n'aurait,2,8,3
n'aurais,1,8,3
éclairer,1,9,3
pose,1,4,3
raisonnable,2,11,3
palissade,1,9,3
devinait,2,8,3
inquiet,1,7,3
descendirent,1,12,3
tassée,1,7,3
décida,4,7,3
froide,1,6,3
apercevait,1,10,3
Tais-toi,1,8,3
cafetière,1,10,3
taches,2,6,3
enchères,5,9,3
Outre,1,5,3
plus,92,4,3
tâche,2,6,3
horizon,2,7,3
lapin,6,5,3
efforts,1,7,3
rêve,5,5,3
sept,4,4,3
rebut,1,5,3
disait-elle,1,11,3
l'eau,2,5,3
avancèrent,1,11,3
français,2,9,3
buveurs,1,7,3
d'ailleurs,2,10,3
emportait,2,9,3
d'ivresse,1,9,3
résolution,2,11,3
pays,1,4,3
cassait,1,7,3
lien,1,4,3
sol,1,3,3
système,2,8,3
lois,2,4,3
fumer,1,5,3
poussait,8,8,3
loin,7,4,3
retrouverait,1,12,3
parlait,6,7,3
l'odeur,3,7,3
lieu,1,4,3
cabarets,2,8,3
l'affaire,5,9,3
l'Internationale,1,16,3
côte,6,5,3
reproches,1,9,3
s'aggravait,1,11,3
conduisant,1,10,3
adhère,1,7,3
indispensable,1,13,3
c'est,18,5,3
stationnait,1,11,3
mêlant,2,7,3
espérait,2,9,3
guettant,1,8,3
muets,1,5,3
matériel,1,9,3
Maintenant,8,10,3
caché,1,6,3
tournât,1,8,3
jetait,2,6,3
prêt,2,5,3
bouffée,1,8,3
pleuraient,2,10,3
publiée,1,8,3
oeuvres,1,7,3
vécu,1,5,3
bagne,3,5,3
brouille,1,8,3
attelât,1,8,3
d'indignations,1,14,3
Parfois,1,7,3
circula,1,7,3
crâne,1,6,3
coûter,1,7,3
rapporte-moi,1,12,3
mécanicien,2,11,3
plain-pied,1,10,3
étranglait,1,11,3
échangeaient,1,13,3
s'appelaient,1,12,3
fort,9,4,3
emmené,2,7,3
garce,1,5,3
vive,2,4,3
réfléchis,1,11,3
braves,1,6,3
propreté,3,9,3
hésitants,1,10,3
cauchemar,1,9,3
reprit-il,1,9,3
arrivèrent,2,11,3
mauvaises,1,9,3
l'Angleterre,1,12,3
accouche,1,8,3
propagande,3,10,3
débit,7,6,3
ferma,1,5,3
deuxième,1,9,3
d'anciens,1,9,3
sauvage,1,7,3
certitude,1,9,3
triomphe,2,8,3
repartit,1,8,3
bouillait,1,9,3
apporté,1,8,3
Six,1,3,3
dernières,1,10,3
voisin,3,6,3
peuples,2,7,3
curés,2,6,3
lundi,1,5,3
révolter,1,9,3
s'apercevant,1,12,3
étouffent,1,10,3
rompre,1,6,3
ni,18,2,3
jamais,16,6,3
d'adhérer,1,10,3
révolte,5,8,3
ne,168,2,3
amoureuse,1,9,3
protester,1,9,3
cria-t-il,2,9,3
baiser,1,6,3
voisinages,1,10,3
soupèrent,1,10,3
partait,2,7,3
verraient,1,9,3
l'un,6,4,3
luxe,1,4,3
rectangulaire,1,13,3
brutes,1,6,3
accorde,1,7,3
s'enflammer,1,11,3
curiosité,2,10,3
hennissant,1,10,3
bouleversée,1,12,3
cassé,1,6,3
l'appela,1,8,3
biens,2,5,3
écrasait,1,9,3
russe,2,5,3
jetteraient,1,11,3
transporter,1,11,3
restèrent,1,10,3
avez-vous,1,9,3
doute,8,5,3
fraîche,1,8,3
celui-ci,3,8,3
cou,3,3,3
moustaches,1,10,3
cordonniers,1,11,3
retira,1,6,3
songe,1,5,3
Lis-nous,1,8,3
bégaya,1,7,3
rend,1,4,3
chauffe,1,7,3
retournèrent,1,13,3
oeufs,1,5,3
elle-même,2,10,3
ouiche,1,6,3
sujet,3,5,3
depuis,19,6,3
sauvait,1,7,3
aigres,1,6,3
faisait,19,7,3
rencontraient,3,13,3
Allumez,1,7,3
corps,6,5,3
rentrer,1,7,3
pressaient-il,1,13,3
étranglées,1,12,3
légendes,1,9,3
désolantes,1,11,3
dallée,1,7,3
herscheuse,7,10,3
voyez,2,5,3
coude,3,5,3
baissa,1,6,3
d'autant,2,8,3
bombes,1,6,3
l'éternel,2,10,3
Sa,3,2,3
Cinq,1,4,3
houillères,1,11,3
crèvent,2,8,3
Etourdi,1,7,3
nuit-là,1,8,3
tendu,2,5,3
donner,3,6,3
menaient,2,8,3
médecine,2,9,3
s'écrasaient,1,13,3
métier,3,7,3
passage,1,7,3
défectueux,1,11,3
cité,1,5,3
charge,1,6,3
Les,31,3,3
dû,7,3,3
dressait,2,8,3
muette,3,6,3
d'égoutter,1,11,3
honte,4,5,3
toucher,1,7,3
sourd,2,5,3
avouée,1,7,3
battre,1,6,3
lorsqu'il,3,9,3
rejoindrait,1,11,3
voulaient,3,9,3
sonorité,1,9,3
Entendez-vous,1,13,3
marchait,1,8,3
Plus,3,4,3
museau,1,6,3
ma,2,2,3
trouble,1,7,3
hausse,1,6,3
exact,1,5,3
sujets,1,6,3
haussa,1,6,3
dommage,2,7,3
coucher,8,7,3
s'invitant,1,10,3
causeries,1,9,3
mirent,2,6,3
batisecouic,1,11,3
camaraderie,1,11,3
distraire,1,9,3
incarnée,1,9,3
entendant,1,9,3
l'humanité,1,11,3
dix,13,3,3
fendues,1,7,3
attendri,1,8,3
dit,23,3,3
lever,5,5,3
l'oubliait,1,10,3
attendre,4,8,3
appelait,1,8,3
fibre,1,5,3
dis,6,3,3
celles,1,6,3
régal,1,6,3
brave,2,5,3
murmura,5,7,3
coller,1,6,3
décoration,1,11,3
éclairs,1,8,3
rouge,3,5,3
anarchistes,1,11,3
vacarme,3,7,3
décidé,1,8,3
vidant,1,6,3
droit,3,5,3
l'église,3,9,3
d'une,60,5,3
quelques,1,8,3
prévenir,1,9,3
1er,1,3,3
joie,1,4,3
d'or,1,4,3
galants,1,7,3
tira,1,4,3
gouttières,1,11,3
Jusqu'à,1,8,3
étaient,15,8,3
s'élargissait,4,14,3
ramenés,1,8,3
filles,11,6,3
roches,4,6,3
précipita,1,10,3
seule,7,5,3
s'attardant,1,11,3
l'inquiétude,1,13,3
inutiles,1,8,3
murmura-t-il,1,12,3
fermait,3,7,3
forcée,2,7,3
Qui,1,3,3
délicatement,1,13,3
seuls,3,5,3
l'assommait,1,11,3
groupe,5,6,3
groupa,1,6,3
foutu,1,5,3
Qu'est-ce,6,9,3
Ça,4,3,3
quotidiens,1,10,3
l'impatience,1,12,3
quelles,2,7,3
passait,3,7,3
Dévoré,1,8,3
rase,1,4,3
pétrin,1,7,3
vice,1,4,3
gorge,2,5,3
habitude,3,8,3
sûrement,3,9,3
jura,1,4,3
l'âge,3,6,3
joyeuse,1,7,3
brisés,1,7,3
moyens,2,6,3
poliment,1,8,3
marbraient,1,10,3
grâce,1,6,3
Joiselle,1,8,3
cette,38,5,3
causera,2,7,3
crois,1,5,3
avaient,18,7,3
maintenu,1,8,3
lentement,2,9,3
cinquantaine,1,12,3
Pourquoi,3,8,3
tartines,1,8,3
bon,15,3,3
entier,2,6,3
voisine,5,7,3
haveur,5,6,3
obstinément,1,12,3
paraissaient,1,12,3
savoir,5,6,3
parmi,3,5,3
ciel,4,4,3
C'était,26,8,3
priant,2,6,3
s'emportait,1,11,3
lèvera,1,7,3
attentat,1,8,3
Certainement,1,12,3
résumé,1,8,3
