Mots,Partie,Chapitre,Paragraphe,Phrase
pas,2,1,3,3
fait,2,1,3,3
de,2,1,3,3
dégâts,2,1,3,3
Mme,2,1,3,3
Grégoire,2,1,3,3
venait,2,1,3,3
de,2,1,3,3
descendre,2,1,3,3
à,2,1,3,3
la,2,1,3,3
cuisine,2,1,3,3
en,2,1,3,3
pantoufles,2,1,3,3
et,2,1,3,3
en,2,1,3,3
peignoir,2,1,3,3
de,2,1,3,3
flanelle,2,1,3,3
Courte,2,1,3,4
grasse,2,1,3,4
âgée,2,1,3,4
déjà,2,1,3,4
de,2,1,3,4
cinquante-huit,2,1,3,4
ans,2,1,3,4
elle,2,1,3,4
gardait,2,1,3,4
une,2,1,3,4
grosse,2,1,3,4
figure,2,1,3,4
poupine,2,1,3,4
et,2,1,3,4
étonnée,2,1,3,4
sous,2,1,3,4
la,2,1,3,4
blancheur,2,1,3,4
éclatante,2,1,3,4
de,2,1,3,4
ses,2,1,3,4
cheveux,2,1,3,4
Mélanie,2,1,4,1
dit-elle,2,1,4,1
à,2,1,4,1
la,2,1,4,1
cuisinière,2,1,4,1
si,2,1,4,1
vous,2,1,4,1
faisiez,2,1,4,1
la,2,1,4,1
brioche,2,1,4,1
ce,2,1,4,1
matin,2,1,4,1
puisque,2,1,4,1
la,2,1,4,1
pâte,2,1,4,1
est,2,1,4,1
prête,2,1,4,1
Mademoiselle,2,1,4,2
ne,2,1,4,2
se,2,1,4,2
lèvera,2,1,4,2
pas,2,1,4,2
avant,2,1,4,2
une,2,1,4,2
demi-heure,2,1,4,2
et,2,1,4,2
elle,2,1,4,2
en,2,1,4,2
mangerait,2,1,4,2
avec,2,1,4,2
son,2,1,4,2
chocolat,2,1,4,2
Hein,2,1,4,2
ce,2,1,4,3
serait,2,1,4,3
une,2,1,4,3
surprise,2,1,4,3
La,2,1,5,1
cuisinière,2,1,5,1
vieille,2,1,5,1
femme,2,1,5,1
maigre,2,1,5,1
qui,2,1,5,1
les,2,1,5,1
servait,2,1,5,1
depuis,2,1,5,1
trente,2,1,5,1
ans,2,1,5,1
se,2,1,5,1
mit,2,1,5,1
à,2,1,5,1
rire,2,1,5,1
Ca,2,1,6,1
c'est,2,1,6,1
vrai,2,1,6,1
la,2,1,6,1
surprise,2,1,6,1
serait,2,1,6,1
fameuse,2,1,6,1
Mon,2,1,6,1
fourneau,2,1,6,1
est,2,1,6,1
allumé,2,1,6,1
le,2,1,6,1
four,2,1,6,1
doit,2,1,6,1
être,2,1,6,1
chaud,2,1,6,1
et,2,1,6,1
puis,2,1,6,1
Honorine,2,1,6,1
va,2,1,6,1
m'aider,2,1,6,1
un,2,1,6,1
peu,2,1,6,1
Honorine,2,1,7,1
une,2,1,7,1
fille,2,1,7,1
d'une,2,1,7,1
vingtaine,2,1,7,1
d'années,2,1,7,1
recueillie,2,1,7,1
enfant,2,1,7,1
et,2,1,7,1
élevée,2,1,7,1
à,2,1,7,1
la,2,1,7,1
maison,2,1,7,1
servait,2,1,7,1
maintenant,2,1,7,1
de,2,1,7,1
femme,2,1,7,1
de,2,1,7,1
chambre,2,1,7,1
Pour,2,1,7,2
tout,2,1,7,2
personnel,2,1,7,2
outre,2,1,7,2
ces,2,1,7,2
deux,2,1,7,2
femmes,2,1,7,2
il,2,1,7,2
n'y,2,1,7,2
avait,2,1,7,2
que,2,1,7,2
le,2,1,7,2
cocher,2,1,7,2
Francis,2,1,7,2
chargé,2,1,7,2
des,2,1,7,2
gros,2,1,7,2
ouvrages,2,1,7,2
Un,2,1,7,3
jardinier,2,1,7,3
et,2,1,7,3
une,2,1,7,3
jardinière,2,1,7,3
s'occupaient,2,1,7,3
des,2,1,7,3
légumes,2,1,7,3
des,2,1,7,3
fruits,2,1,7,3
des,2,1,7,3
fleurs,2,1,7,3
et,2,1,7,3
de,2,1,7,3
la,2,1,7,3
basse-cour,2,1,7,3
Et,2,1,7,4
comme,2,1,7,4
le,2,1,7,4
service,2,1,7,4
était,2,1,7,4
patriarcal,2,1,7,4
d'une,2,1,7,4
douceur,2,1,7,4
familière,2,1,7,4
ce,2,1,7,4
petit,2,1,7,4
monde,2,1,7,4
vivait,2,1,7,4
en,2,1,7,4
bonne,2,1,7,4
amitié,2,1,7,4
Mme,2,1,8,1
Grégoire,2,1,8,1
qui,2,1,8,1
avait,2,1,8,1
médité,2,1,8,1
dans,2,1,8,1
son,2,1,8,1
lit,2,1,8,1
la,2,1,8,1
surprise,2,1,8,1
de,2,1,8,1
la,2,1,8,1
brioche,2,1,8,1
resta,2,1,8,1
pour,2,1,8,1
voir,2,1,8,1
mettre,2,1,8,1
la,2,1,8,1
pâte,2,1,8,1
au,2,1,8,1
four,2,1,8,1
La,2,1,8,2
cuisine,2,1,8,2
était,2,1,8,2
immense,2,1,8,2
et,2,1,8,2
on,2,1,8,2
la,2,1,8,2
devinait,2,1,8,2
la,2,1,8,2
pièce,2,1,8,2
importante,2,1,8,2
à,2,1,8,2
sa,2,1,8,2
propreté,2,1,8,2
extrême,2,1,8,2
à,2,1,8,2
l'arsenal,2,1,8,2
des,2,1,8,2
casseroles,2,1,8,2
des,2,1,8,2
ustensiles,2,1,8,2
des,2,1,8,2
pots,2,1,8,2
qui,2,1,8,2
l'emplissaient,2,1,8,2
Cela,2,1,8,3
sentait,2,1,8,3
bon,2,1,8,3
la,2,1,8,3
bonne,2,1,8,3
nourriture,2,1,8,3
Des,2,1,8,4
provisions,2,1,8,4
débordaient,2,1,8,4
des,2,1,8,4
râteliers,2,1,8,4
et,2,1,8,4
des,2,1,8,4
armoires,2,1,8,4
Et,2,1,9,1
qu'elle,2,1,9,1
soit,2,1,9,1
bien,2,1,9,1
dorée,2,1,9,1
n'est-ce,2,1,9,1
pas,2,1,9,1
recommanda,2,1,9,2
Mme,2,1,9,2
Grégoire,2,1,9,2
en,2,1,9,2
passant,2,1,9,2
dans,2,1,9,2
la,2,1,9,2
salle,2,1,9,2
à,2,1,9,2
manger,2,1,9,2
Malgré,2,1,10,1
le,2,1,10,1
calorifère,2,1,10,1
qui,2,1,10,1
chauffait,2,1,10,1
toute,2,1,10,1
la,2,1,10,1
maison,2,1,10,1
un,2,1,10,1
feu,2,1,10,1
de,2,1,10,1
houille,2,1,10,1
égayait,2,1,10,1
cette,2,1,10,1
salle,2,1,10,1
Du,2,1,10,2
reste,2,1,10,2
il,2,1,10,2
n'y,2,1,10,2
avait,2,1,10,2
aucun,2,1,10,2
luxe,2,1,10,2
la,2,1,10,2
grande,2,1,10,2
table,2,1,10,2
les,2,1,10,2
chaises,2,1,10,2
un,2,1,10,2
buffet,2,1,10,2
d'acajou,2,1,10,2
et,2,1,10,2
seuls,2,1,10,2
deux,2,1,10,2
fauteuils,2,1,10,2
profonds,2,1,10,2
trahissaient,2,1,10,2
l'amour,2,1,10,2
du,2,1,10,2
bien-être,2,1,10,2
les,2,1,10,2
longues,2,1,10,2
digestions,2,1,10,2
heureuses,2,1,10,2
On,2,1,10,3
n'allait,2,1,10,3
jamais,2,1,10,3
au,2,1,10,3
salon,2,1,10,3
on,2,1,10,3
demeurait,2,1,10,3
là,2,1,10,3
en,2,1,10,3
famille,2,1,10,3
Justement,2,1,11,1
M,2,1,11,1
Grégoire,2,1,11,1
rentrait,2,1,11,1
vêtu,2,1,11,1
d'un,2,1,11,1
gros,2,1,11,1
veston,2,1,11,1
de,2,1,11,1
futaine,2,1,11,1
rose,2,1,11,1
lui,2,1,11,1
aussi,2,1,11,1
pour,2,1,11,1
ses,2,1,11,1
soixante,2,1,11,1
ans,2,1,11,1
avec,2,1,11,1
de,2,1,11,1
grands,2,1,11,1
traits,2,1,11,1
honnêtes,2,1,11,1
et,2,1,11,1
bons,2,1,11,1
dans,2,1,11,1
la,2,1,11,1
neige,2,1,11,1
de,2,1,11,1
ses,2,1,11,1
cheveux,2,1,11,1
bouclés,2,1,11,1
Il,2,1,11,2
avait,2,1,11,2
vu,2,1,11,2
le,2,1,11,2
cocher,2,1,11,2
et,2,1,11,2
le,2,1,11,2
jardinier,2,1,11,2
aucun,2,1,11,2
dégât,2,1,11,2
important,2,1,11,2
rien,2,1,11,2
qu'un,2,1,11,2
tuyau,2,1,11,2
de,2,1,11,2
cheminée,2,1,11,2
abattu,2,1,11,2
Chaque,2,1,11,3
matin,2,1,11,3
il,2,1,11,3
aimait,2,1,11,3
à,2,1,11,3
donner,2,1,11,3
un,2,1,11,3
coup,2,1,11,3
d'oeil,2,1,11,3
à,2,1,11,3
la,2,1,11,3
Piolaine,2,1,11,3
qui,2,1,11,3
n'était,2,1,11,3
pas,2,1,11,3
assez,2,1,11,3
grande,2,1,11,3
pour,2,1,11,3
lui,2,1,11,3
causer,2,1,11,3
des,2,1,11,3
soucis,2,1,11,3
et,2,1,11,3
dont,2,1,11,3
il,2,1,11,3
tirait,2,1,11,3
tous,2,1,11,3
les,2,1,11,3
bonheurs,2,1,11,3
du,2,1,11,3
propriétaire,2,1,11,3
Et,2,1,12,1
Cécile,2,1,12,1
demanda-t-il,2,1,12,2
elle,2,1,12,2
ne,2,1,12,2
se,2,1,12,2
lève,2,1,12,2
donc,2,1,12,2
pas,2,1,12,2
aujourd'hui,2,1,12,2
Je,2,1,13,1
n'y,2,1,13,1
comprends,2,1,13,1
rien,2,1,13,1
répondit,2,1,13,1
sa,2,1,13,1
femme,2,1,13,1
Il,2,1,13,2
me,2,1,13,2
semblait,2,1,13,2
l'avoir,2,1,13,2
entendue,2,1,13,2
remuer,2,1,13,2
Le,2,1,14,1
couvert,2,1,14,1
était,2,1,14,1
mis,2,1,14,1
trois,2,1,14,1
bols,2,1,14,1
sur,2,1,14,1
la,2,1,14,1
nappe,2,1,14,1
blanche,2,1,14,1
On,2,1,14,2
envoya,2,1,14,2
Honorine,2,1,14,2
voir,2,1,14,2
ce,2,1,14,2
que,2,1,14,2
devenait,2,1,14,2
Mademoiselle,2,1,14,2
Mais,2,1,14,3
elle,2,1,14,3
redescendit,2,1,14,3
aussitôt,2,1,14,3
retenant,2,1,14,3
des,2,1,14,3
rires,2,1,14,3
étouffant,2,1,14,3
sa,2,1,14,3
voix,2,1,14,3
comme,2,1,14,3
si,2,1,14,3
elle,2,1,14,3
eût,2,1,14,3
parlé,2,1,14,3
en,2,1,14,3
haut,2,1,14,3
dans,2,1,14,3
la,2,1,14,3
chambre,2,1,14,3
Oh,2,1,15,1
si,2,1,15,2
Monsieur,2,1,15,2
et,2,1,15,2
Madame,2,1,15,2
voyaient,2,1,15,2
Mademoiselle,2,1,15,2
Elle,2,1,15,3
dort,2,1,15,3
oh,2,1,15,3
elle,2,1,15,4
dort,2,1,15,4
ainsi,2,1,15,4
qu'un,2,1,15,4
Jésus,2,1,15,4
On,2,1,15,4
n'a,2,1,15,4
pas,2,1,15,4
idée,2,1,15,4
de,2,1,15,4
ça,2,1,15,4
c'est,2,1,15,4
un,2,1,15,4
plaisir,2,1,15,4
à,2,1,15,4
la,2,1,15,4
regarder,2,1,15,4
Le,2,1,16,1
père,2,1,16,1
et,2,1,16,1
la,2,1,16,1
mère,2,1,16,1
échangeaient,2,1,16,1
des,2,1,16,1
regards,2,1,16,1
attendris,2,1,16,1
Il,2,1,16,2
dit,2,1,16,2
en,2,1,16,2
souriant,2,1,16,2
Viens-tu,2,1,17,1
voir,2,1,17,1
Cette,2,1,18,1
pauvre,2,1,18,1
mignonne,2,1,18,1
murmura-t-elle,2,1,18,2
J'y,2,1,18,3
vais,2,1,18,3
Et,2,1,19,1
ils,2,1,19,1
montèrent,2,1,19,1
ensemble,2,1,19,1
La,2,1,19,2
chambre,2,1,19,2
était,2,1,19,2
la,2,1,19,2
seule,2,1,19,2
luxueuse,2,1,19,2
de,2,1,19,2
la,2,1,19,2
maison,2,1,19,2
tendue,2,1,19,2
de,2,1,19,2
soie,2,1,19,2
bleue,2,1,19,2
garnie,2,1,19,2
de,2,1,19,2
meubles,2,1,19,2
laqués,2,1,19,2
blancs,2,1,19,2
à,2,1,19,2
filets,2,1,19,2
bleus,2,1,19,2
un,2,1,19,2
caprice,2,1,19,2
d'enfant,2,1,19,2
gâtée,2,1,19,2
satisfait,2,1,19,2
par,2,1,19,2
les,2,1,19,2
parents,2,1,19,2
Dans,2,1,19,3
les,2,1,19,3
blancheurs,2,1,19,3
vagues,2,1,19,3
du,2,1,19,3
lit,2,1,19,3
sous,2,1,19,3
le,2,1,19,3
demi-jour,2,1,19,3
qui,2,1,19,3
tombait,2,1,19,3
de,2,1,19,3
l'écartement,2,1,19,3
d'un,2,1,19,3
rideau,2,1,19,3
la,2,1,19,3
jeune,2,1,19,3
fille,2,1,19,3
dormait,2,1,19,3
une,2,1,19,3
joue,2,1,19,3
appuyée,2,1,19,3
sur,2,1,19,3
son,2,1,19,3
bras,2,1,19,3
nu,2,1,19,3
Elle,2,1,19,4
n'était,2,1,19,4
pas,2,1,19,4
jolie,2,1,19,4
trop,2,1,19,4
saine,2,1,19,4
trop,2,1,19,4
bien,2,1,19,4
portante,2,1,19,4
mûre,2,1,19,4
à,2,1,19,4
dix-huit,2,1,19,4
ans,2,1,19,4
mais,2,1,19,4
elle,2,1,19,4
avait,2,1,19,4
une,2,1,19,4
chair,2,1,19,4
superbe,2,1,19,4
une,2,1,19,4
fraîcheur,2,1,19,4
de,2,1,19,4
lait,2,1,19,4
avec,2,1,19,4
ses,2,1,19,4
cheveux,2,1,19,4
châtains,2,1,19,4
sa,2,1,19,4
face,2,1,19,4
ronde,2,1,19,4
au,2,1,19,4
petit,2,1,19,4
nez,2,1,19,4
volontaire,2,1,19,4
noyé,2,1,19,4
entre,2,1,19,4
les,2,1,19,4
joues,2,1,19,4
La,2,1,19,5
couverture,2,1,19,5
avait,2,1,19,5
glissé,2,1,19,5
et,2,1,19,5
elle,2,1,19,5
respirait,2,1,19,5
si,2,1,19,5
doucement,2,1,19,5
que,2,1,19,5
son,2,1,19,5
haleine,2,1,19,5
ne,2,1,19,5
soulevait,2,1,19,5
même,2,1,19,5
pas,2,1,19,5
sa,2,1,19,5
gorge,2,1,19,5
déjà,2,1,19,5
lourde,2,1,19,5
Ce,2,1,20,1
maudit,2,1,20,1
vent,2,1,20,1
l'aura,2,1,20,1
empêchée,2,1,20,1
de,2,1,20,1
fermer,2,1,20,1
les,2,1,20,1
yeux,2,1,20,1
dit,2,1,20,1
la,2,1,20,1
mère,2,1,20,1
doucement,2,1,20,1
Le,2,1,21,1
père,2,1,21,1
d'un,2,1,21,1
geste,2,1,21,1
lui,2,1,21,1
imposa,2,1,21,1
silence,2,1,21,1
Tous,2,1,21,2
les,2,1,21,2
deux,2,1,21,2
se,2,1,21,2
penchaient,2,1,21,2
regardaient,2,1,21,2
avec,2,1,21,2
adoration,2,1,21,2
dans,2,1,21,2
sa,2,1,21,2
nudité,2,1,21,2
de,2,1,21,2
vierge,2,1,21,2
cette,2,1,21,2
fille,2,1,21,2
si,2,1,21,2
longtemps,2,1,21,2
désirée,2,1,21,2
qu'ils,2,1,21,2
avaient,2,1,21,2
eue,2,1,21,2
sur,2,1,21,2
le,2,1,21,2
tard,2,1,21,2
lorsqu'ils,2,1,21,2
ne,2,1,21,2
l'espéraient,2,1,21,2
plus,2,1,21,2
Ils,2,1,21,3
la,2,1,21,3
voyaient,2,1,21,3
parfaite,2,1,21,3
point,2,1,21,3
trop,2,1,21,3
grasse,2,1,21,3
jamais,2,1,21,3
assez,2,1,21,3
bien,2,1,21,3
nourrie,2,1,21,3
Et,2,1,21,4
elle,2,1,21,4
dormait,2,1,21,4
toujours,2,1,21,4
sans,2,1,21,4
les,2,1,21,4
sentir,2,1,21,4
près,2,1,21,4
d'elle,2,1,21,4
leur,2,1,21,4
visage,2,1,21,4
contre,2,1,21,4
le,2,1,21,4
sien,2,1,21,4
Pourtant,2,1,21,5
une,2,1,21,5
onde,2,1,21,5
légère,2,1,21,5
troubla,2,1,21,5
sa,2,1,21,5
face,2,1,21,5
immobile,2,1,21,5
Ils,2,1,21,6
tremblèrent,2,1,21,6
qu'elle,2,1,21,6
ne,2,1,21,6
s'éveillât,2,1,21,6
ils,2,1,21,6
s'en,2,1,21,6
allèrent,2,1,21,6
sur,2,1,21,6
la,2,1,21,6
pointe,2,1,21,6
des,2,1,21,6
pieds,2,1,21,6
Chut,2,1,22,1
dit,2,1,22,2
M,2,1,22,2
Grégoire,2,1,22,2
à,2,1,22,2
la,2,1,22,2
porte,2,1,22,2
Si,2,1,22,3
elle,2,1,22,3
n'a,2,1,22,3
pas,2,1,22,3
dormi,2,1,22,3
il,2,1,22,3
faut,2,1,22,3
la,2,1,22,3
laisser,2,1,22,3
dormir,2,1,22,3
Tant,2,1,23,1
qu'elle,2,1,23,1
voudra,2,1,23,1
la,2,1,23,1
mignonne,2,1,23,1
appuya,2,1,23,1
Mme,2,1,23,1
Grégoire,2,1,23,1
Nous,2,1,23,2
attendrons,2,1,23,2
Ils,2,1,24,1
descendirent,2,1,24,1
s'installèrent,2,1,24,1
dans,2,1,24,1
les,2,1,24,1
fauteuils,2,1,24,1
de,2,1,24,1
la,2,1,24,1
salle,2,1,24,1
à,2,1,24,1
manger,2,1,24,1
tandis,2,1,24,1
que,2,1,24,1
les,2,1,24,1
bonnes,2,1,24,1
riant,2,1,24,1
du,2,1,24,1
gros,2,1,24,1
sommeil,2,1,24,1
de,2,1,24,1
Mademoiselle,2,1,24,1
tenaient,2,1,24,1
sans,2,1,24,1
grogner,2,1,24,1
le,2,1,24,1
chocolat,2,1,24,1
sur,2,1,24,1
le,2,1,24,1
fourneau,2,1,24,1
Lui,2,1,24,2
avait,2,1,24,2
pris,2,1,24,2
un,2,1,24,2
journal,2,1,24,2
elle,2,1,24,2
tricotait,2,1,24,2
un,2,1,24,2
grand,2,1,24,2
couvre-pieds,2,1,24,2
de,2,1,24,2
laine,2,1,24,2
Il,2,1,24,3
faisait,2,1,24,3
très,2,1,24,3
chaud,2,1,24,3
pas,2,1,24,3
un,2,1,24,3
bruit,2,1,24,3
ne,2,1,24,3
venait,2,1,24,3
de,2,1,24,3
la,2,1,24,3
maison,2,1,24,3
muette,2,1,24,3
La,2,1,25,1
fortune,2,1,25,1
des,2,1,25,1
Grégoire,2,1,25,1
quarante,2,1,25,1
mille,2,1,25,1
francs,2,1,25,1
de,2,1,25,1
rentes,2,1,25,1
environ,2,1,25,1
était,2,1,25,1
tout,2,1,25,1
entière,2,1,25,1
dans,2,1,25,1
une,2,1,25,1
action,2,1,25,1
des,2,1,25,1
mines,2,1,25,1
de,2,1,25,1
Montsou,2,1,25,1
Ils,2,1,25,2
en,2,1,25,2
racontaient,2,1,25,2
avec,2,1,25,2
complaisance,2,1,25,2
l'origine,2,1,25,2
qui,2,1,25,2
partait,2,1,25,2
de,2,1,25,2
la,2,1,25,2
création,2,1,25,2
même,2,1,25,2
de,2,1,25,2
la,2,1,25,2
Compagnie,2,1,25,2
Vers,2,1,26,1
le,2,1,26,1
commencement,2,1,26,1
du,2,1,26,1
dernier,2,1,26,1
siècle,2,1,26,1
un,2,1,26,1
coup,2,1,26,1
de,2,1,26,1
folie,2,1,26,1
s'était,2,1,26,1
déclaré,2,1,26,1
de,2,1,26,1
Lille,2,1,26,1
à,2,1,26,1
Valenciennes,2,1,26,1
pour,2,1,26,1
la,2,1,26,1
recherche,2,1,26,1
de,2,1,26,1
la,2,1,26,1
houille,2,1,26,1
Les,2,1,26,2
succès,2,1,26,2
des,2,1,26,2
concessionnaires,2,1,26,2
qui,2,1,26,2
devaient,2,1,26,2
plus,2,1,26,2
tard,2,1,26,2
former,2,1,26,2
la,2,1,26,2
Compagnie,2,1,26,2
d'Anzin,2,1,26,2
avaient,2,1,26,2
exalté,2,1,26,2
toutes,2,1,26,2
les,2,1,26,2
têtes,2,1,26,2
Dans,2,1,26,3
chaque,2,1,26,3
commune,2,1,26,3
on,2,1,26,3
sondait,2,1,26,3
le,2,1,26,3
sol,2,1,26,3
et,2,1,26,3
les,2,1,26,3
sociétés,2,1,26,3
se,2,1,26,3
créaient,2,1,26,3
et,2,1,26,3
les,2,1,26,3
concessions,2,1,26,3
poussaient,2,1,26,3
en,2,1,26,3
une,2,1,26,3
nuit,2,1,26,3
Mais,2,1,26,4
parmi,2,1,26,4
les,2,1,26,4
entêtés,2,1,26,4
de,2,1,26,4
l'époque,2,1,26,4
le,2,1,26,4
baron,2,1,26,4
Desrumaux,2,1,26,4
avait,2,1,26,4
certainement,2,1,26,4
laissé,2,1,26,4
la,2,1,26,4
mémoire,2,1,26,4
de,2,1,26,4
l'intelligence,2,1,26,4
la,2,1,26,4
plus,2,1,26,4
héroïque,2,1,26,4
Pendant,2,1,26,5
quarante,2,1,26,5
années,2,1,26,5
il,2,1,26,5
s'était,2,1,26,5
débattu,2,1,26,5
sans,2,1,26,5
faiblir,2,1,26,5
au,2,1,26,5
milieu,2,1,26,5
de,2,1,26,5
continuels,2,1,26,5
obstacles,2,1,26,5
premières,2,1,26,5
recherches,2,1,26,5
infructueuses,2,1,26,5
fosses,2,1,26,5
nouvelles,2,1,26,5
abandonnées,2,1,26,5
au,2,1,26,5
bout,2,1,26,5
de,2,1,26,5
longs,2,1,26,5
mois,2,1,26,5
de,2,1,26,5
travail,2,1,26,5
éboulements,2,1,26,5
qui,2,1,26,5
comblaient,2,1,26,5
les,2,1,26,5
trous,2,1,26,5
inondations,2,1,26,5
subites,2,1,26,5
qui,2,1,26,5
noyaient,2,1,26,5
les,2,1,26,5
ouvriers,2,1,26,5
centaines,2,1,26,5
de,2,1,26,5
mille,2,1,26,5
francs,2,1,26,5
jetés,2,1,26,5
dans,2,1,26,5
la,2,1,26,5
terre,2,1,26,5
puis,2,1,26,5
les,2,1,26,5
tracas,2,1,26,5
de,2,1,26,5
l'administration,2,1,26,5
les,2,1,26,5
paniques,2,1,26,5
des,2,1,26,5
actionnaires,2,1,26,5
la,2,1,26,5
lutte,2,1,26,5
avec,2,1,26,5
les,2,1,26,5
seigneurs,2,1,26,5
terriens,2,1,26,5
résolus,2,1,26,5
à,2,1,26,5
ne,2,1,26,5
pas,2,1,26,5
reconnaître,2,1,26,5
les,2,1,26,5
concessions,2,1,26,5
royales,2,1,26,5
si,2,1,26,5
l'on,2,1,26,5
refusait,2,1,26,5
de,2,1,26,5
traiter,2,1,26,5
d'abord,2,1,26,5
avec,2,1,26,5
eux,2,1,26,5
Il,2,1,26,6
venait,2,1,26,6
enfin,2,1,26,6
de,2,1,26,6
fonder,2,1,26,6
la,2,1,26,6
société,2,1,26,6
Desrumaux,2,1,26,6
Fauquenoix,2,1,26,6
et,2,1,26,6
Cie,2,1,26,6
pour,2,1,26,6
exploiter,2,1,26,6
la,2,1,26,6
concession,2,1,26,6
de,2,1,26,6
Montsou,2,1,26,6
et,2,1,26,6
les,2,1,26,6
fosses,2,1,26,6
commençaient,2,1,26,6
à,2,1,26,6
donner,2,1,26,6
de,2,1,26,6
faibles,2,1,26,6
bénéfices,2,1,26,6
lorsque,2,1,26,6
deux,2,1,26,6
concessions,2,1,26,6
voisines,2,1,26,6
celle,2,1,26,6
de,2,1,26,6
Cougny,2,1,26,6
appartenant,2,1,26,6
au,2,1,26,6
comte,2,1,26,6
de,2,1,26,6
Cougny,2,1,26,6
et,2,1,26,6
celle,2,1,26,6
de,2,1,26,6
Joiselle,2,1,26,6
appartenant,2,1,26,6
à,2,1,26,6
la,2,1,26,6
société,2,1,26,6
Cornille,2,1,26,6
et,2,1,26,6
Jenard,2,1,26,6
avaient,2,1,26,6
failli,2,1,26,6
l'écraser,2,1,26,6
sous,2,1,26,6
le,2,1,26,6
terrible,2,1,26,6
assaut,2,1,26,6
de,2,1,26,6
leur,2,1,26,6
concurrence,2,1,26,6
Heureusement,2,1,26,7
le,2,1,26,7
25,2,1,26,7
août,2,1,26,7
1760,2,1,26,7
un,2,1,26,7
traité,2,1,26,7
intervenait,2,1,26,7
entre,2,1,26,7
les,2,1,26,7
trois,2,1,26,7
concessions,2,1,26,7
et,2,1,26,7
les,2,1,26,7
réunissait,2,1,26,7
